rubro,provincia,value,datetime
Productos primarios,Buenos Aires,2116.442,1/1/2005 0:00:00
Productos primarios,Capital Federal,0,1/1/2005 0:00:00
Productos primarios,Córdoba,1411.687,1/1/2005 0:00:00
Productos primarios,Entre Ríos,485.317,1/1/2005 0:00:00
Productos primarios,La Pampa,187.538,1/1/2005 0:00:00
Productos primarios,Santa Fe,1028.697,1/1/2005 0:00:00
Productos primarios,Chubut,177.371,1/1/2005 0:00:00
Productos primarios,Neuquén,38.08,1/1/2005 0:00:00
Productos primarios,Río Negro,251.661,1/1/2005 0:00:00
Productos primarios,Santa Cruz,151.134,1/1/2005 0:00:00
Productos primarios,Tierra del Fuego,34.189,1/1/2005 0:00:00
Productos primarios,Catamarca,1003.273,1/1/2005 0:00:00
Productos primarios,Jujuy,94.167,1/1/2005 0:00:00
Productos primarios,La Rioja,0.85,1/1/2005 0:00:00
Productos primarios,Salta,237.896,1/1/2005 0:00:00
Productos primarios,Santiago del Estero,79.175,1/1/2005 0:00:00
Productos primarios,Tucumán,226.928,1/1/2005 0:00:00
Productos primarios,Mendoza,170.178,1/1/2005 0:00:00
Productos primarios,San Juan,71.449,1/1/2005 0:00:00
Productos primarios,San Luis,30.043,1/1/2005 0:00:00
Productos primarios,Chaco,103.139,1/1/2005 0:00:00
Productos primarios,Corrientes,63.748,1/1/2005 0:00:00
Productos primarios,Formosa,5.999,1/1/2005 0:00:00
Productos primarios,Misiones,75.814,1/1/2005 0:00:00
Manufacturas de origen agropecuario,Buenos Aires,3244.813,1/1/2005 0:00:00
Manufacturas de origen agropecuario,Capital Federal,85.375,1/1/2005 0:00:00
Manufacturas de origen agropecuario,Córdoba,2154.224,1/1/2005 0:00:00
Manufacturas de origen agropecuario,Entre Ríos,255.773,1/1/2005 0:00:00
Manufacturas de origen agropecuario,La Pampa,23.523,1/1/2005 0:00:00
Manufacturas de origen agropecuario,Santa Fe,5512.243,1/1/2005 0:00:00
Manufacturas de origen agropecuario,Chubut,191.093,1/1/2005 0:00:00
Manufacturas de origen agropecuario,Neuquén,31.978,1/1/2005 0:00:00
Manufacturas de origen agropecuario,Río Negro,49.419,1/1/2005 0:00:00
Manufacturas de origen agropecuario,Santa Cruz,47.633,1/1/2005 0:00:00
Manufacturas de origen agropecuario,Tierra del Fuego,43.424,1/1/2005 0:00:00
Manufacturas de origen agropecuario,Catamarca,15.517,1/1/2005 0:00:00
Manufacturas de origen agropecuario,Jujuy,77.108,1/1/2005 0:00:00
Manufacturas de origen agropecuario,La Rioja,122.531,1/1/2005 0:00:00
Manufacturas de origen agropecuario,Salta,64.031,1/1/2005 0:00:00
Manufacturas de origen agropecuario,Santiago del Estero,0.635,1/1/2005 0:00:00
Manufacturas de origen agropecuario,Tucumán,125.611,1/1/2005 0:00:00
Manufacturas de origen agropecuario,Mendoza,487.962,1/1/2005 0:00:00
Manufacturas de origen agropecuario,San Juan,122.381,1/1/2005 0:00:00
Manufacturas de origen agropecuario,San Luis,140.823,1/1/2005 0:00:00
Manufacturas de origen agropecuario,Chaco,40.908,1/1/2005 0:00:00
Manufacturas de origen agropecuario,Corrientes,26.393,1/1/2005 0:00:00
Manufacturas de origen agropecuario,Formosa,3.459,1/1/2005 0:00:00
Manufacturas de origen agropecuario,Misiones,190.37,1/1/2005 0:00:00
Manufacturas de origen industrial,Buenos Aires,7787.398,1/1/2005 0:00:00
Manufacturas de origen industrial,Capital Federal,185.824,1/1/2005 0:00:00
Manufacturas de origen industrial,Córdoba,886.243,1/1/2005 0:00:00
Manufacturas de origen industrial,Entre Ríos,74.234,1/1/2005 0:00:00
Manufacturas de origen industrial,La Pampa,8.479,1/1/2005 0:00:00
Manufacturas de origen industrial,Santa Fe,964.291,1/1/2005 0:00:00
Manufacturas de origen industrial,Chubut,415.605,1/1/2005 0:00:00
Manufacturas de origen industrial,Neuquén,10.878,1/1/2005 0:00:00
Manufacturas de origen industrial,Río Negro,49.904,1/1/2005 0:00:00
Manufacturas de origen industrial,Santa Cruz,117.171,1/1/2005 0:00:00
Manufacturas de origen industrial,Tierra del Fuego,23.547,1/1/2005 0:00:00
Manufacturas de origen industrial,Catamarca,48.045,1/1/2005 0:00:00
Manufacturas de origen industrial,Jujuy,34.622,1/1/2005 0:00:00
Manufacturas de origen industrial,La Rioja,51.481,1/1/2005 0:00:00
Manufacturas de origen industrial,Salta,69.48,1/1/2005 0:00:00
Manufacturas de origen industrial,Santiago del Estero,21.981,1/1/2005 0:00:00
Manufacturas de origen industrial,Tucumán,207.278,1/1/2005 0:00:00
Manufacturas de origen industrial,Mendoza,136.536,1/1/2005 0:00:00
Manufacturas de origen industrial,San Juan,89.635,1/1/2005 0:00:00
Manufacturas de origen industrial,San Luis,204.065,1/1/2005 0:00:00
Manufacturas de origen industrial,Chaco,7.523,1/1/2005 0:00:00
Manufacturas de origen industrial,Corrientes,9.822,1/1/2005 0:00:00
Manufacturas de origen industrial,Formosa,0.986,1/1/2005 0:00:00
Manufacturas de origen industrial,Misiones,116.389,1/1/2005 0:00:00
Combustibles y energía,Buenos Aires,2478.212,1/1/2005 0:00:00
Combustibles y energía,Capital Federal,0,1/1/2005 0:00:00
Combustibles y energía,Córdoba,0,1/1/2005 0:00:00
Combustibles y energía,Entre Ríos,0,1/1/2005 0:00:00
Combustibles y energía,La Pampa,23.334,1/1/2005 0:00:00
Combustibles y energía,Santa Fe,215.2,1/1/2005 0:00:00
Combustibles y energía,Chubut,1254.52,1/1/2005 0:00:00
Combustibles y energía,Neuquén,819.647,1/1/2005 0:00:00
Combustibles y energía,Río Negro,64.92,1/1/2005 0:00:00
Combustibles y energía,Santa Cruz,542.424,1/1/2005 0:00:00
Combustibles y energía,Tierra del Fuego,311.986,1/1/2005 0:00:00
Combustibles y energía,Catamarca,0,1/1/2005 0:00:00
Combustibles y energía,Jujuy,0,1/1/2005 0:00:00
Combustibles y energía,La Rioja,0,1/1/2005 0:00:00
Combustibles y energía,Salta,438.168,1/1/2005 0:00:00
Combustibles y energía,Santiago del Estero,0,1/1/2005 0:00:00
Combustibles y energía,Tucumán,1.069,1/1/2005 0:00:00
Combustibles y energía,Mendoza,247.004,1/1/2005 0:00:00
Combustibles y energía,San Juan,0.851,1/1/2005 0:00:00
Combustibles y energía,San Luis,0,1/1/2005 0:00:00
Combustibles y energía,Chaco,0,1/1/2005 0:00:00
Combustibles y energía,Corrientes,0,1/1/2005 0:00:00
Combustibles y energía,Formosa,22.832,1/1/2005 0:00:00
Combustibles y energía,Misiones,0,1/1/2005 0:00:00
Productos primarios,Buenos Aires,2088.056,1/1/2006 0:00:00
Productos primarios,Capital Federal,0,1/1/2006 0:00:00
Productos primarios,Córdoba,1286.791,1/1/2006 0:00:00
Productos primarios,Entre Ríos,449.329,1/1/2006 0:00:00
Productos primarios,La Pampa,116.589,1/1/2006 0:00:00
Productos primarios,Santa Fe,904.872,1/1/2006 0:00:00
Productos primarios,Chubut,285.257,1/1/2006 0:00:00
Productos primarios,Neuquén,40.081,1/1/2006 0:00:00
Productos primarios,Río Negro,244.231,1/1/2006 0:00:00
Productos primarios,Santa Cruz,348.51,1/1/2006 0:00:00
Productos primarios,Tierra del Fuego,54.073,1/1/2006 0:00:00
Productos primarios,Catamarca,1344.708,1/1/2006 0:00:00
Productos primarios,Jujuy,125.389,1/1/2006 0:00:00
Productos primarios,La Rioja,2.025,1/1/2006 0:00:00
Productos primarios,Salta,267.649,1/1/2006 0:00:00
Productos primarios,Santiago del Estero,138.412,1/1/2006 0:00:00
Productos primarios,Tucumán,220.57,1/1/2006 0:00:00
Productos primarios,Mendoza,186.287,1/1/2006 0:00:00
Productos primarios,San Juan,98.784,1/1/2006 0:00:00
Productos primarios,San Luis,19.697,1/1/2006 0:00:00
Productos primarios,Chaco,131.847,1/1/2006 0:00:00
Productos primarios,Corrientes,90.666,1/1/2006 0:00:00
Productos primarios,Formosa,6.46,1/1/2006 0:00:00
Productos primarios,Misiones,73.175,1/1/2006 0:00:00
Manufacturas de origen agropecuario,Buenos Aires,3518.358,1/1/2006 0:00:00
Manufacturas de origen agropecuario,Capital Federal,104.925,1/1/2006 0:00:00
Manufacturas de origen agropecuario,Córdoba,2397.681,1/1/2006 0:00:00
Manufacturas de origen agropecuario,Entre Ríos,280.66,1/1/2006 0:00:00
Manufacturas de origen agropecuario,La Pampa,18.085,1/1/2006 0:00:00
Manufacturas de origen agropecuario,Santa Fe,6659.525,1/1/2006 0:00:00
Manufacturas de origen agropecuario,Chubut,210.532,1/1/2006 0:00:00
